feature_rank,feature_idx,rm_mu_score,empirical_mu_corr,img_rank,activation,mu,model,image_path,prompt
1,14790,0.021572,0.6903,1,11.1852,11.369,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/5e50365e-4df4-470f-a15a-69fad97c39f9.jpg,"The image showcases a modern, minimalist office setup with motivational art pieces dominating the gray brick wall. Five hexagonal plaques are arranged in a slight arc, each displaying a key concept for success: ""Persistence,"" ""Hustle,"" ""Success,"" ""Grind,"" and ""Execution."" A concise definition or empowering phrase accompanies each word.

Below the motivational display, two simple white desks are positioned with black, ergonomic office chairs on each side. Computer monitors sit atop the desks, indicating a workspace. A small potted succulent sits on the right desk, adding a touch of greenery.

The overall aesthetic is clean and professional, aiming to inspire and focus the viewer with its motivational themes and straightforward design. The choice of colors and materials suggests a contemporary and efficient work environment."
1,14790,0.021572,0.6903,2,11.1185,11.088,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/aeca121e-0bc0-4705-8a96-40a34a982dd6.jpg,"The image showcases a stylish ""Digital Animated Invitation"" for a birthday dinner. The invitation is displayed across five smartphones arranged on a white marble table. Above the phones, a cluster of rose gold balloons adds a celebratory atmosphere.

Each phone screen highlights a different aspect of the invitation. The first details event information, while the second features photos of the ""crew"" or attendees. The central phone displays the core invitation details, including the text ""Birthday Dinner,"" the name ""Katerina Smith,"" and date and location specifics. The fourth phone reveals ""the vibes,"" potentially showing event previews or themes, and the final phone presents a ""Thank You"" message.

The arrangement is sophisticated, with copper-colored placemats, elegant tableware, and cutlery contributing to a luxurious dining setup. The background is dark, allowing the rose gold and white elements to pop. Overall, the image effectively communicates a modern, elegant birthday celebration with a digital-first approach."
1,14790,0.021572,0.6903,3,11.1078,11.368,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/d6c1e313-4c5c-41cc-8e24-f2c393a71429.jpg,"The image depicts a hand holding a smartphone displaying a housewarming party invitation, set against an elegant backdrop. The smartphone screen shows a black background adorned with copper-colored balloons and a wireframe house icon at the top. Bold text reads ""HOUSE Warming PARTY,"" with smaller text inviting guests to a celebration at ""Katerina's Residence."" The invitation includes event details such as the date (Saturday, 25 October), time (20:00 PM), address (123 Anywhere st., Any City), and RSVP contact number.

Surrounding the smartphone are copper-colored balloons, adding a festive touch to the scene. To the left of the phone are three circular icons with text indicating features like ""CANVA ..Self.. EDIT,"" ""Animated INVITE,"" and ""Add Music,"" suggesting customization options. The background shows a beautifully set table with plates and silverware, suggesting a formal dining setting. A floral arrangement adds a touch of elegance to the scene. In the distance, a window provides a glimpse of an external structure, contributing to the overall upscale ambiance."
1,14790,0.021572,0.6903,4,11.0526,11.21,infinity,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/1f1f829a-ffae-4bf2-9aa0-73236aa065db.jpg,"The image showcases a living room setting with a modern and artistic flair. Above a cream-colored sofa, an abstract painting dominates the scene. The painting is a vibrant mix of colors, including pinks, oranges, yellows, and greens, with hints of black, applied in thick, textured strokes. It evokes a sense of movement and depth, perhaps suggesting a landscape or a reflection on water.

The sofa itself is adorned with an array of pillows in different colors and patterns, providing a touch of coziness. A round, wooden coffee table sits in front of the sofa, displaying decorative objects, including a glass vase, books, and a seashell.

The wall behind the sofa and painting is beige and is framed by a wooden border that coordinates with the color of the coffee table. Spotlights above the painting highlight its colors, drawing the viewer's attention. Overall, the room exudes a sophisticated and comfortable atmosphere, with the painting serving as its focal point."
1,14790,0.021572,0.6903,5,11.0222,11.099,flux,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/fe8a47a9-006e-4c43-8a99-9c5fb9b4cdad.jpg,"The image is a promotional shot for Lindemans beer, presenting an elegant and festive atmosphere. The composition centers around a bottle of Lindemans Kriek beer placed on a thick, bound book. Next to it, a stemmed glass is filled with the beer, capturing its ruby-red color. To the left, a triangular glass container overflows with cherries, paired with a small, ornamental box.

Two lit candles stand in the background, along with a vintage clock on the right, adding warmth to the scene. A hand adorned with rings and bracelets reaches into the composition, possibly to grab the beer or another element. The setting is rich, with a green velvet backdrop and table surface that convey a sense of luxury and sophistication.

At the top, the phrase ""Sip the moment"" is displayed in white, sans-serif font, enhancing the celebratory and leisurely feel. At the bottom, the Lindemans logo is displayed, along with a ""Find Our Beers"" button and a message to drink responsibly."
2,3742,0.021879,0.6809,1,13.3189,11.295,sd3,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/f2aa3901-2d6a-4c3e-8b57-555c39fb0ab8.jpg,"In a cozy indoor setting, a young girl sits cross-legged on a patterned rug, surrounded by Christmas presents and a fluffy white dog. She's wearing a light-colored blouse layered with a cardigan, and her long brown hair cascades over her shoulders. In her hands, she carefully holds a small, golden-striped gift adorned with a golden bow, her eyes gazing down at it with curiosity.

The warm glow of the room comes from the twinkling lights of a fully decorated Christmas tree in the background, which adds to the festive ambiance. The lights extend further, adorning what appear to be curtains or a window, casting a soft, magical light. An armchair, upholstered in mustard color, is seen on the left. The overall composition conveys a sense of warmth, anticipation, and the joys of the holiday season."
2,3742,0.021879,0.6809,2,13.2346,12.02,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/5d3e6add-428d-419a-93df-f1a8a4c0eb66.jpg,"The image shows a man and a woman sitting at a wooden table, likely in a cafe or relaxed setting. The man, who is the more prominent figure, is dark-skinned with an Afro hairstyle. He is wearing a light blue denim shirt and holding a white coffee cup in his right hand. He is smiling broadly, revealing his white teeth, and looking directly at the woman.

The woman is mostly seen from behind, only showing her short brown hair and the back of her head. She is wearing a white collared shirt and has a gray scarf draped around her neck. Her right arm is raised, with her hand resting near her face as if in thought or conversation.

A small white saucer is on the table next to the man, and the table itself is made of distressed wood planks. The background is plain and light, suggesting a minimalist interior. The scene feels intimate and friendly, capturing a moment of connection between the two people."
2,3742,0.021879,0.6809,3,13.2219,11.896,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/aea31e10-54c6-4870-b822-e3ecb953a0f1.jpg,"The image shows a peaceful scene of a father and son in a pasture. The father, seen from the side and back, is wearing a light-colored collared shirt. His dark hair is short, and he has a beard. He's holding the hand of a young boy, who is wearing a mustard-colored shirt and has a gray hooded sweatshirt draped over his shoulders. The boy is facing away from the camera. 

In front of them, a fluffy sheep is grazing in the green grass. The sheep is mostly white with dark markings on its face. A barbed wire fence runs behind the sheep, and wooden posts support it. Beyond the fence, the field stretches into the distance, dotted with trees and bathed in the warm, golden light of the setting sun. The overall impression is one of tranquility and connection with nature."
2,3742,0.021879,0.6809,4,13.2151,11.375,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/9980415a-bb9d-46e6-bced-bc422a054aa5.jpg,"The image depicts a serene and peaceful scene of a woman standing near a tranquil lake, bathed in a soft, warm light. The focal point is the woman, whose back is turned to the viewer, clad in a pale dress and a vibrant green scarf draped over her shoulder. She stands at the edge of the water, as if contemplating the reflective surface.

Overhanging the scene on the left is a weeping willow tree, its delicate leaves cascading down, adding a touch of melancholy and tranquility to the picture. The ground is covered in lush green grass, interspersed with small white flowers, contributing to the overall feeling of natural beauty.

In the background, the lake extends towards the horizon, where trees and land are faintly visible under a light sky. The sky itself is a mixture of pale yellow and white, hinting at either sunrise or sunset, further enhancing the tranquil atmosphere of the scene. The brushstrokes give the image a soft and almost dreamlike quality, invoking a sense of peace and solitude."
2,3742,0.021879,0.6809,5,13.2121,11.804,flux,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/8a2e8fd0-a989-4087-abfe-e356e3f91329.jpg,"Here's a description of the image:

The image shows a woman from the back, sitting cross-legged in a yoga pose on a wooden deck. The sun is behind her, creating a warm glow that washes out some details and adds a sense of tranquility. 

She's wearing a white sports bra and patterned leggings that feature shades of white, pink, and lavender. Her hands are clasped together behind her back in a prayer-like position, suggesting a moment of meditation or stretching. She is sitting on a yellow yoga mat on the wooden deck.

In the background, there's a body of water, possibly a harbor or bay, with boats and buildings visible on the opposite shore. The overall scene suggests a peaceful and serene setting, where the woman is enjoying a moment of mindfulness and physical activity in nature."
