image,prompt,method,mode,base_reward,top1_importance,mean_abs_importance,n_superpixels,deletion_auc,deletion_auc_random,insertion_auc,insertion_auc_random
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,lime,black,7.8326,5.8957,1.8457,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/06842ff3-606f-4081-9b15-13279dff957a.jpg,"Certainly! Here's a description of the image:

The image features a zebra standing in a field of tall grass interspersed with clusters of bright yellow wildflowers. The zebra is positioned slightly off-center, facing left, with its distinct black and white stripes clearly visible. Its head is angled towards the viewer, providing a clear view of its face and unique stripe pattern.

The backdrop is a grassy plain with rolling hills, typical of a savanna landscape. There's a subtle play of light and shadow across the hills, adding depth to the scene. A light blue sky completes the background, creating a sense of vastness and openness. In the distance, a herd of animals can be faintly seen grazing, which hints to a larger ecosystem beyond the immediate foreground. The overall impression is one of natural beauty and tranquility.",lime,black,9.5891,19.9078,19.9078,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/d8403139-182d-477b-9ff9-6bbed132cbb1.jpg,"The image captures a moment of relaxation and connection with nature. A person's hand, adorned with a delicate silver ring on the ring finger and sporting dark blue nail polish, holds a metal cup. The hand and cup are positioned in front of a car window, suggesting a roadside stop. The vehicle's door is visible, and the sleeve of a brown coat or jacket peeks into the frame, adding a touch of autumn aesthetic.

Beyond the car, the background opens up to a vast, open field bathed in warm sunlight. The scene evokes a sense of freedom and tranquility. The depth of field is shallow, drawing focus to the hand and the cup while blurring the background to enhance the feeling of being in nature. The scene is very calming.",lime,black,9.9216,19.5693,3.5462,6,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/66ea2468-6752-4143-bb61-c3f43b901222.jpg,"Here's a description of the image:

The image is a portrait of a small, white fluffy dog, possibly a Pomeranian or a similar breed. The dog is standing on a bright yellow surface, likely a table or platform. It is looking upwards and slightly to the left, with a soft, endearing expression. 

The dog is adorned with a yellow and orange floral collar, which adds a pop of color to its white fur. The lighting is soft and warm, highlighting the texture of the dog's coat and creating a gentle, inviting atmosphere.

The background is slightly blurred, featuring trees and a glimpse of a white painted element, possibly a tree trunk or structure. This blurry background helps to keep the focus primarily on the dog. The overall composition is well-balanced, and the color palette is cheerful and pleasant.",lime,black,6.5966,16.8644,16.8644,1,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/0bf6d055-ff34-4a43-ad4a-11bca4dfaac9.jpg,Smiling young man and woman sitting on a fence.,lime,black,15.0798,12.6888,3.5773,9,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/c4da57ac-f701-49ee-8745-5423e8adcffd.jpg,"The image is a digitally created, stylized representation of a squash or tennis player in action. The backdrop is primarily a textured, vibrant green with scattered dark splatters. A circular green gradient frames the main subject, and curved green lines fade into the black lower portion of the image.

The figure of the player, depicted with a blurry, dynamic effect, is positioned in a lunging pose, her arm extended to hit a yellow ball. She is wearing a blue tank top and a dark skirt with a pair of dark colored shoes with orange trim. The racket appears to be in motion, capturing the force of the swing.

The overall effect is one of speed and energy, with the abstract design lending itself well to the themes of sports and athleticism. The color palette is bold and eye-catching, creating a visually striking image.",lime,black,7.5608,15.0234,2.5381,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/74d745bf-142f-4735-b93c-7dbc97f57936.jpg,Illuminated building at night with blurred light trails on the road.,lime,black,12.5353,22.7684,11.4433,2,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/577d09f9-e8ac-4c2d-bef1-8be9483e8500.jpg,Monochrome portrait of a woman sitting cross-legged.,lime,black,7.8326,5.8957,1.8457,10,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/8b8f0909-3d8f-42e6-ada6-c6661e6111ab.jpg,"The image captures a young man walking down a narrow city street, shot from a slightly low angle. He is facing forward but glancing over his left shoulder, engaging the viewer with his gaze. His dark hair is neatly styled.

He is wearing a classic, slightly worn black leather jacket, which reflects the light and adds a rugged edge to his appearance. Below the jacket, he sports denim jeans.

The narrow street is flanked by tall buildings, typical of European city architecture. The buildings are light-colored with detailed facades and tall windows. A row of bicycles parked in a stand can be seen on the left side of the street. The overall tone of the image is urban and stylish.",lime,black,13.9572,5.9986,2.3308,7,,,,
/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/5582d290-88ec-4887-92af-ec3b344806b3.jpg,"The image is an artistic illustration featuring a surreal and dreamy scene at twilight. A colossal, transparent jellyfish-like creature dominates the sky, its dome a mixture of iridescent colors – soft pinks, purples, and a hint of blue. A tiny crescent moon is nestled within its translucent body. Its long, trailing tentacles extend almost to the ground, painted with swirling strokes of pink and lavender, resembling brushstrokes of a dreamy sky.

Below, a small figure stands on the edge of a rooftop. The individual is silhouetted, suggesting a moment of quiet contemplation. The building structure they stand on has a modern aesthetic with clean lines and large windows. The color palette is dominated by shades of blue and pink, creating a serene and magical atmosphere. Trees and foliage frame the bottom edges and top corners of the image, adding depth and a sense of place. There's a sense of wonder and enchantment conveyed through the unique combination of elements.",lime,black,9.3322,19.5387,9.7811,2,,,,
